ID;Nombre;Apellido;email;day;month;year;Capital;item;descripcion;Importe;valoracion;FechaPedido
1;Elena;Ocon;urjc.es;22;diciembre;2018;Paris;Caja de tirafondos;40 piezas;3;5;09/01/2019
2;Gema;Perez;uam.es;13;noviembre;2017;Stockholm;Llave de Cadena;;9;0;14/01/2019
3;Oscar;Yuste;yahoo.es;10;abril;2017;Amsterdam;Abrazadera angulo recto;Juego de 4;13;1;04/02/2019
4;Oscar;Ximol;urjc.es;14;marzo;2018;Bucharest;Serrucho;;9;2;30/01/2019
5;Tomas;Perez;uned.es;6;octubre;2017;Warsaw;Taladro;GoldLine;35;0;29/03/2019
6;Laura;Lopez;uam.es;14;marzo;2017;Dublin;Disco Diamante;125x22mm;18;2;22/03/2019
7;Kendra;Ocon;facebook.com;1;mayo;2018;Amsterdam;Caja de tirafondos;40 piezas;3;5;24/12/2018
8;Kendra;Minguez;gmail.com;16;agosto;2018;Budapest;Martillo;Cabeza doble;3;1;20/03/2019
9;Diana;Quesada;ucm.es;6;octubre;2018;Sofia;MicroSoplete;GasButano;14;0;02/03/2019
10;Gema;Camino;urjc.es;14;mayo;2018;Bucharest;Llave de Cadena;;9;2;23/12/2018
11;Kendra;Ocon;facebook.com;1;mayo;2018;Amsterdam;Disco Diamante;125x22mm;18;4;22/03/2019
12;Sandra;Minguez;uam.es;4;octubre;2017;Dublin;Disco Diamante;125x22mm;18;1;20/01/2019
13;Ubaldo;Kostadiris;yahoo.es;13;julio;2018;London;MicroSoplete;GasButano;14;3;08/01/2019
14;Elena;Vitola;gmail.com;4;diciembre;2018;Amsterdam;MicroSoplete;GasButano;14;5;27/01/2019
15;Sandra;Esteban;ucm.es;17;abril;2018;Bucharest;Resina para suelos;25L;58;0;25/03/2019
16;Isabel;Nu¤ez;ucm.es;2;diciembre;2018;Bucharest;Serrucho;;9;5;31/12/2018
17;Oscar;Tasio;gmail.com;13;agosto;2017;Paris;Recortadora de borde;;22;2;15/01/2019
18;Gema;Perez;uam.es;13;noviembre;2017;Stockholm;Llave de Cadena;;9;2;16/01/2019
19;Violeta;Yuste;uned.es;13;octubre;2018;Sofia;Carretilla;Plegable;33;1;27/02/2019
20;Patricia;Diaz;uam.es;20;enero;2017;Amsterdam;Resina para suelos;25L;58;0;25/02/2019
21;Sandra;Minguez;uam.es;4;octubre;2017;Dublin;Disco Diamante;125x22mm;18;3;02/03/2019
22;Oscar;Ximol;urjc.es;14;marzo;2018;Bucharest;Taladro;GoldLine;35;3;05/01/2019
23;Gema;Perez;uam.es;13;noviembre;2017;Stockholm;Fresadora;Tekin;40;0;26/01/2019
24;Nuria;Ucelai;uam.es;7;febrero;2017;Dublin;Taladro;GoldLine;35;1;03/01/2019
25;Javier;Nu¤ez;facebook.com;5;octubre;2017;Amsterdam;Martillo;Cabeza doble;3;2;17/02/2019
26;Alberto;Perez;ucm.es;21;marzo;2018;Paris;Martillo;Cabeza doble;3;4;22/02/2019
27;Kendra;Ba¤os;uned.es;17;septiembre;2017;Sofia;Sierra Circular;Tekin;50;0;31/12/2018
28;Nuria;Diaz;uah.es;3;diciembre;2017;Dublin;Moldes Pavimento;42x42x4;13;0;21/01/2019
29;Isabel;Nu¤ez;ucm.es;2;diciembre;2018;Bucharest;Serrucho;;9;2;01/02/2019
30;Francisco;Idiazabal;gmail.com;21;agosto;2017;Paris;Llave de Cadena;;9;5;26/03/2019
31;Laura;Lopez;uam.es;14;marzo;2017;Dublin;Recortadora de borde;;22;3;14/03/2019
32;Xabier;Esteban;uam.es;18;agosto;2018;Oslo;Sierra Circular;Tekin;50;3;23/03/2019
33;Alberto;Perez;ucm.es;21;marzo;2018;Paris;Disco Diamante;125x22mm;18;2;13/01/2019
34;Patricia;Minguez;uah.es;16;agosto;2018;Madrid;Taladro;GoldLine;35;2;10/01/2019
35;Patricia;Esteban;uah.es;7;abril;2017;Sofia;Martillo;Cabeza doble;3;4;26/03/2019
36;Francisco;Yuste;uned.es;12;julio;2017;Paris;Serrucho;;9;4;30/03/2019
37;Oscar;Tasio;;13;agosto;2017;Paris;Carretilla;Plegable;33;3;14/02/2019
38;Kendra;Ximol;uned.es;11;marzo;2017;Madrid;Serrucho;;9;3;02/02/2019
39;Nuria;Ucelai;urjc.es;11;junio;2017;Prague;Disco Diamante;125x22mm;18;2;15/02/2019
40;Javier;Minguez;yahoo.es;16;marzo;2018;Stockholm;Serrucho;;9;2;01/01/2019
41;Elena;Diaz;uned.es;13;febrero;2018;Vienna;Llave de Cadena;;9;2;14/01/2019
42;Xabier;Ximol;ucm.es;16;septiembre;2017;Paris;Fresadora;Tekin;40;5;07/03/2019
43;Oscar;Yuste;yahoo.es;10;abril;2017;Amsterdam;Sierra Circular;Tekin;50;2;15/02/2019
44;Sandra;Minguez;uam.es;4;octubre;2017;Dublin;Martillo;Cabeza doble;3;0;22/03/2019
45;Patricia;Diaz;uam.es;20;enero;2017;Amsterdam;Fresadora;Tekin;40;0;24/03/2019
46;Alberto;Ramirez;uam.es;16;abril;2017;Sofia;Martillo;Cabeza doble;3;0;05/02/2019
47;Nuria;Diaz;uah.es;3;diciembre;2017;Dublin;Abrazadera angulo recto;Juego de 4;13;3;18/02/2019
48;Kendra;Ba¤os;uned.es;17;septiembre;2017;Sofia;Abrazadera angulo recto;Juego de 4;13;4;01/03/2019
49;Xabier;Ximol;gmail.com;24;enero;2018;Berlin;Sierra Circular;Tekin;50;0;08/01/2019
50;Xabier;Ximol;ucm.es;16;septiembre;2017;Paris;Moldes Pavimento;42x42x4;13;2;10/01/2019
51;Kendra;Ba¤os;uned.es;17;septiembre;2017;Sofia;Carretilla;Plegable;33;5;26/01/2019
52;Laura;Lopez;uam.es;14;marzo;2017;Dublin;Taladro;GoldLine;35;2;04/03/2019
53;Ubaldo;Kostadiris;yahoo.es;13;julio;2018;London;Recortadora de borde;;22;0;18/03/2019
54;Gema;Camino;urjc.es;14;mayo;2018;Bucharest;Carretilla;Plegable;33;4;25/12/2018
55;Laura;Lopez;uam.es;14;marzo;2017;Dublin;Serrucho;;9;5;06/02/2019
56;Alberto;Perez;ucm.es;21;marzo;2018;Paris;Disco Diamante;125x22mm;18;1;07/03/2019
57;Laura;Tasio;facebook.com;18;julio;2018;Amsterdam;Moldes Pavimento;42x42x4;13;3;06/03/2019
58;Laura;Tasio;facebook.com;18;julio;2018;Amsterdam;Abrazadera angulo recto;Juego de 4;13;2;27/03/2019
59;Nuria;Ucelai;urjc.es;11;junio;2017;Prague;Disco Diamante;125x22mm;18;1;23/02/2019
60;Violeta;Sanchez;uned.es;11;abril;2017;Sofia;Llave de Cadena;;9;4;27/02/2019
61;Alberto;Perez;ucm.es;21;marzo;2018;Paris;Resina para suelos;25L;58;2;23/03/2019
62;Oscar;Tasio;gmail.com;13;agosto;2017;Paris;Serrucho;;9;0;26/12/2018
63;Roberto;Vitola;gmail.com;13;enero;2018;Madrid;Taladro;GoldLine;35;5;25/02/2019
64;Elena;Perez;urjc.es;19;septiembre;2018;Sofia;Llave de Cadena;;9;2;12/03/2019
65;Patricia;Ocon;urjc.es;8;septiembre;2017;Lisbon;Martillo;Cabeza doble;3;0;31/12/2018
66;Kendra;Ximol;uned.es;11;marzo;2017;Madrid;Llave de Cadena;;9;4;26/03/2019
67;Francisco;Esteban;yahoo.es;19;agosto;2018;Budapest;MicroSoplete;GasButano;14;5;19/01/2019
68;Sandra;Idiazabal;facebook.com;16;septiembre;2018;Paris;Martillo;Cabeza doble;3;4;20/02/2019
69;Elena;Diaz;uned.es;13;febrero;2018;Vienna;Sierra Circular;Tekin;50;4;14/02/2019
70;Xabier;Esteban;uam.es;18;agosto;2018;Oslo;Resina para suelos;25L;58;2;24/12/2018
71;Elena;Ocon;urjc.es;22;diciembre;2018;Paris;Martillo;Cabeza doble;3;2;02/01/2019
72;Xabier;Ximol;ucm.es;16;septiembre;2017;Paris;Martillo;Cabeza doble;3;4;02/01/2019
73;Ubaldo;Kostadiris;yahoo.es;13;julio;2018;London;Fresadora;Tekin;40;3;18/01/2019
74;Javier;Minguez;yahoo.es;16;marzo;2018;Stockholm;Serrucho;;9;2;07/02/2019
75;Alberto;Ramirez;uam.es;16;abril;2017;Sofia;Carretilla;Plegable;33;4;04/02/2019
76;Elena;Ocon;urjc.es;22;diciembre;2018;Paris;Llave de Correa;;6;0;27/01/2019
77;Sandra;Minguez;uam.es;4;octubre;2017;Dublin;Martillo;Cabeza doble;3;4;29/12/2018
78;Patricia;Diaz;uam.es;20;enero;2017;Amsterdam;MicroSoplete;GasButano;14;0;18/02/2019
79;Roberto;Vitola;gmail.com;13;enero;2018;Madrid;Abrazadera angulo recto;Juego de 4;13;5;31/12/2018
80;Ubaldo;Kostadiris;yahoo.es;13;julio;2018;London;Llave de Cadena;;9;3;29/03/2019
81;Violeta;Sanchez;uned.es;11;abril;2017;Sofia;Fresadora;Tekin;40;1;26/01/2019
82;Manuel;Camino;uam.es;8;abril;2017;Copenhagen;Fresadora;Tekin;40;0;21/12/2018
83;Gema;Camino;urjc.es;14;mayo;2018;Bucharest;Abrazadera angulo recto;Juego de 4;13;0;30/12/2018
84;Francisco;Yuste;uned.es;12;julio;2017;Paris;Fresadora;Tekin;40;5;20/03/2019
85;Oscar;Yuste;yahoo.es;10;abril;2017;Amsterdam;Llave de Correa;;6;0;09/03/2019
86;Oscar;Ximol;urjc.es;14;marzo;2018;Bucharest;Caja de tirafondos;40 piezas;3;3;02/02/2019
87;Laura;Lopez;uam.es;14;marzo;2017;Dublin;Caja de tirafondos;40 piezas;3;5;28/02/2019
88;Alberto;Perez;ucm.es;21;marzo;2018;Paris;Moldes Pavimento;42x42x4;13;0;28/02/2019
89;Xabier;Ximol;ucm.es;16;septiembre;2017;Paris;Disco Diamante;125x22mm;18;2;20/03/2019
90;Violeta;Sanchez;uned.es;11;abril;2017;Sofia;Caja de tirafondos;40 piezas;3;0;18/01/2019
91;Diana;Quesada;ucm.es;6;octubre;2018;Sofia;Caja de tirafondos;40 piezas;3;0;14/03/2019
92;Alberto;Ramirez;uam.es;16;abril;2017;Sofia;Disco Diamante;125x22mm;18;0;31/03/2019
93;Yolanda;Minguez;uned.es;19;junio;2018;Bucharest;Serrucho;;9;5;26/12/2018
94;Xabier;Ba¤os;uam.es;21;abril;2018;Dublin;Abrazadera angulo recto;Juego de 4;13;4;06/03/2019
95;Alberto;Ramirez;uam.es;16;abril;2017;Sofia;Moldes Pavimento;42x42x4;13;5;26/03/2019
96;Patricia;Diaz;uam.es;20;enero;2017;Amsterdam;Taladro;GoldLine;35;1;09/02/2019
97;Francisco;Yuste;uned.es;12;julio;2017;Paris;Llave de Correa;;6;3;28/02/2019
98;Yolanda;Minguez;uned.es;19;junio;2018;Bucharest;Serrucho;;9;1;04/01/2019
99;Kendra;Ba¤os;uned.es;17;septiembre;2017;Sofia;Llave de Correa;;6;1;30/03/2019
100;Kendra;Ba¤os;uned.es;17;septiembre;2017;Sofia;Caja de tirafondos;40 piezas;3;1;05/01/2019
101;Isabel;Nu¤ez;ucm.es;2;diciembre;2018;Bucharest;Fresadora;Tekin;40;4;01/02/2019
102;Gema;Perez;uam.es;13;noviembre;2017;Stockholm;Martillo;Cabeza doble;3;3;06/02/2019
