Nombre Completo;email;fecha;Country;Capital;item;descripcion;valoracion;Importe;FechaPedido
Javier Minguez;Javier_Minguez@yahoo.es;16 de marzo de 2018;Sweden;Stockholm;Disco Diamante;125x22mm;4;18;05/02/2019
Sandra Idiazabal;Sandra_Idiazabal@facebook.com;16 de septiembre de 2018;France;Paris;MicroSoplete;GasButano;3;14;19/02/2019
Kendra Minguez;Kendra_Minguez@gmail.com;16 de agosto de 2018;Hungary;Budapest;Llave de Correa;;0;6;16/03/2019
Kendra Ba¤os;Kendra_Ba¤os@uned.es;17 de septiembre de 2017;Bulgaria;Sofia;MicroSoplete;GasButano;0;14;29/12/2018
Oscar Tasio;;13 de agosto de 2017;France;Paris;Resina para suelos;25L;2;58;06/03/2019
Sandra Minguez;Sandra_Minguez@uam.es;4 de octubre de 2017;Republic_of_Ireland;Dublin;Disco Diamante;125x22mm;3;18;23/03/2019
Elena Perez;Elena_Perez@urjc.es;19 de septiembre de 2018;Bulgaria;Sofia;Martillo;Cabeza doble;3;3;25/02/2019
Patricia Ocon;Patricia_Ocon@urjc.es;8 de septiembre de 2017;Portugal;Lisbon;Caja de tirafondos;40 piezas;1;3;12/02/2019
Laura Lopez;Laura_Lopez@uam.es;14 de marzo de 2017;Republic_of_Ireland;Dublin;Taladro;GoldLine;1;35;02/03/2019
Patricia Diaz;Patricia_Diaz@uam.es;20 de enero de 2017;Netherlands;Amsterdam;Llave de Correa;;1;6;26/03/2019
Elena Ocon;Elena_Ocon@urjc.es;22 de diciembre de 2018;France;Paris;Taladro;GoldLine;1;35;21/02/2019
Violeta Yuste;Violeta_Yuste@uned.es;13 de octubre de 2018;Bulgaria;Sofia;Serrucho;;0;9;21/02/2019
Ubaldo Kostadiris;Ubaldo_Kostadiris@yahoo.es;13 de julio de 2018;United_Kingdom;London;Caja de tirafondos;40 piezas;5;3;24/01/2019
Manuel Camino;Manuel_Camino@uam.es;8 de abril de 2017;Denmark;Copenhagen;Martillo;Cabeza doble;1;3;31/03/2019
Francisco Yuste;Francisco_Yuste@uned.es;12 de julio de 2017;France;Paris;Recortadora de borde;;2;22;04/01/2019
Gema Camino;Gema_Camino@urjc.es;14 de mayo de 2018;Romania;Bucharest;Taladro;GoldLine;0;35;05/01/2019
Alberto Perez;Alberto_Perez@ucm.es;21 de marzo de 2018;France;Paris;MicroSoplete;GasButano;4;14;31/03/2019
Kendra Ocon;Kendra_Ocon@facebook.com;1 de mayo de 2018;Netherlands;Amsterdam;MicroSoplete;GasButano;4;14;05/03/2019
Hector Ucelai;Hector_Ucelai@uam.es;17 de febrero de 2018;Netherlands;Amsterdam;MicroSoplete;GasButano;5;14;06/02/2019
Isabel Lopez;Isabel_Lopez@uah.es;24 de abril de 2018;United_Kingdom;London;Sierra Circular;Tekin;0;50;11/01/2019
Kendra Minguez;Kendra_Minguez@gmail.com;16 de agosto de 2018;Hungary;Budapest;Llave de Correa;;3;6;05/01/2019
Kendra Minguez;Kendra_Minguez@gmail.com;16 de agosto de 2018;Hungary;Budapest;Resina para suelos;25L;4;58;01/01/2019
Hector Ucelai;Hector_Ucelai@uam.es;17 de febrero de 2018;Netherlands;Amsterdam;Fresadora;Tekin;5;40;25/02/2019
Tomas Perez;Tomas_Perez@uned.es;6 de octubre de 2017;Poland;Warsaw;Llave de Correa;;1;6;13/03/2019
Violeta Sanchez;Violeta_Sanchez@uned.es;11 de abril de 2017;Bulgaria;Sofia;Abrazadera angulo recto;Juego de 4;5;13;05/03/2019
Oscar Yuste;Oscar_Yuste@yahoo.es;10 de abril de 2017;Netherlands;Amsterdam;Abrazadera angulo recto;Juego de 4;3;13;17/03/2019
Laura Tasio;Laura_Tasio@facebook.com;18 de julio de 2018;Netherlands;Amsterdam;MicroSoplete;GasButano;5;14;27/01/2019
Violeta Sanchez;Violeta_Sanchez@uned.es;11 de abril de 2017;Bulgaria;Sofia;Carretilla;Plegable;5;33;23/02/2019
Sandra Idiazabal;Sandra_Idiazabal@facebook.com;16 de septiembre de 2018;France;Paris;Taladro;GoldLine;3;35;12/02/2019
Xabier Ba¤os;Xabier_Ba¤os@uam.es;21 de abril de 2018;Republic_of_Ireland;Dublin;Fresadora;Tekin;0;40;11/01/2019
Tomas Perez;Tomas_Perez@uned.es;6 de octubre de 2017;Poland;Warsaw;Resina para suelos;25L;0;58;20/01/2019
Francisco Esteban;Francisco_Esteban@yahoo.es;19 de agosto de 2018;Hungary;Budapest;Sierra Circular;Tekin;1;50;02/01/2019
Oscar Tasio;;13 de agosto de 2017;France;Paris;Sierra Circular;Tekin;0;50;04/01/2019
Violeta Sanchez;Violeta_Sanchez@uned.es;11 de abril de 2017;Bulgaria;Sofia;Abrazadera angulo recto;Juego de 4;0;13;01/03/2019
Kendra Minguez;Kendra_Minguez@gmail.com;16 de agosto de 2018;Hungary;Budapest;Taladro;GoldLine;5;35;15/01/2019
Diana Quesada;Diana_Quesada@ucm.es;6 de octubre de 2018;Bulgaria;Sofia;Resina para suelos;25L;0;58;15/01/2019
Elena Ocon;Elena_Ocon@urjc.es;22 de diciembre de 2018;France;Paris;Martillo;Cabeza doble;1;3;10/02/2019
Francisco Idiazabal;Francisco_Idiazabal@gmail.com;21 de agosto de 2017;France;Paris;Abrazadera angulo recto;Juego de 4;2;13;13/02/2019
Patricia Diaz;Patricia_Diaz@uam.es;20 de enero de 2017;Netherlands;Amsterdam;Fresadora;Tekin;1;40;18/02/2019
Francisco Esteban;Francisco_Esteban@yahoo.es;19 de agosto de 2018;Hungary;Budapest;Fresadora;Tekin;2;40;06/01/2019
Oscar Yuste;Oscar_Yuste@yahoo.es;10 de abril de 2017;Netherlands;Amsterdam;Llave de Cadena;;1;9;17/01/2019
Diana Quesada;Diana_Quesada@ucm.es;6 de octubre de 2018;Bulgaria;Sofia;Fresadora;Tekin;1;40;03/01/2019
Alberto Perez;Alberto_Perez@ucm.es;21 de marzo de 2018;France;Paris;Caja de tirafondos;40 piezas;4;3;16/03/2019
Patricia Diaz;Patricia_Diaz@uam.es;20 de enero de 2017;Netherlands;Amsterdam;Disco Diamante;125x22mm;4;18;06/03/2019
Patricia Esteban;Patricia_Esteban@uah.es;7 de abril de 2017;Bulgaria;Sofia;Moldes Pavimento;42x42x4;1;13;23/12/2018
Ubaldo Kostadiris;Ubaldo_Kostadiris@yahoo.es;13 de julio de 2018;United_Kingdom;London;Caja de tirafondos;40 piezas;1;3;30/03/2019
Elena Ocon;Elena_Ocon@urjc.es;22 de diciembre de 2018;France;Paris;MicroSoplete;GasButano;5;14;14/03/2019
Gema Perez;Gema_Perez@uam.es;13 de noviembre de 2017;Sweden;Stockholm;Llave de Cadena;;0;9;29/12/2018
Javier Nu¤ez;Javier_Nu¤ez@facebook.com;5 de octubre de 2017;Netherlands;Amsterdam;Resina para suelos;25L;1;58;08/01/2019
Diana Quesada;Diana_Quesada@ucm.es;6 de octubre de 2018;Bulgaria;Sofia;Sierra Circular;Tekin;5;50;03/02/2019
Elena Perez;Elena_Perez@urjc.es;19 de septiembre de 2018;Bulgaria;Sofia;Resina para suelos;25L;0;58;19/01/2019
Kendra Ximol;;11 de marzo de 2017;Spain;Madrid;Fresadora;Tekin;0;40;01/02/2019
Yolanda Minguez;Yolanda_Minguez@uned.es;19 de junio de 2018;Romania;Bucharest;Fresadora;Tekin;1;40;28/02/2019
Oscar Tasio;;13 de agosto de 2017;France;Paris;Fresadora;Tekin;3;40;17/03/2019
Laura Tasio;Laura_Tasio@facebook.com;18 de julio de 2018;Netherlands;Amsterdam;Carretilla;Plegable;1;33;17/02/2019
Patricia Ocon;Patricia_Ocon@urjc.es;8 de septiembre de 2017;Portugal;Lisbon;Moldes Pavimento;42x42x4;3;13;13/01/2019
Francisco Esteban;Francisco_Esteban@yahoo.es;19 de agosto de 2018;Hungary;Budapest;MicroSoplete;GasButano;1;14;01/02/2019
Xabier Esteban;Xabier_Esteban@uam.es;18 de agosto de 2018;Norway;Oslo;MicroSoplete;GasButano;0;14;10/01/2019
Nuria Diaz;Nuria_Diaz@uah.es;3 de diciembre de 2017;Republic_of_Ireland;Dublin;Disco Diamante;125x22mm;2;18;27/02/2019
Oscar Ximol;Oscar_Ximol@urjc.es;14 de marzo de 2018;Romania;Bucharest;Llave de Correa;;4;6;30/12/2018
Elena Perez;Elena_Perez@urjc.es;19 de septiembre de 2018;Bulgaria;Sofia;Recortadora de borde;;0;22;30/01/2019
Javier Minguez;Javier_Minguez@yahoo.es;16 de marzo de 2018;Sweden;Stockholm;Serrucho;;5;9;21/12/2018
Alberto Perez;Alberto_Perez@ucm.es;21 de marzo de 2018;France;Paris;Llave de Correa;;4;6;28/01/2019
Xabier Ximol;Xabier_Ximol@ucm.es;16 de septiembre de 2017;France;Paris;Llave de Cadena;;1;9;19/01/2019
Patricia Minguez;Patricia_Minguez@uah.es;16 de agosto de 2018;Spain;Madrid;Abrazadera angulo recto;Juego de 4;3;13;18/02/2019
Elena Ocon;Elena_Ocon@urjc.es;22 de diciembre de 2018;France;Paris;MicroSoplete;GasButano;0;14;06/01/2019
Gema Camino;Gema_Camino@urjc.es;14 de mayo de 2018;Romania;Bucharest;Llave de Cadena;;0;9;10/03/2019
Xabier Ximol;Xabier_Ximol@ucm.es;16 de septiembre de 2017;France;Paris;Recortadora de borde;;1;22;07/01/2019
Xabier Ximol;Xabier_Ximol@ucm.es;16 de septiembre de 2017;France;Paris;Resina para suelos;25L;3;58;13/01/2019
Elena Vitola;Elena_Vitola@gmail.com;4 de diciembre de 2018;Netherlands;Amsterdam;Resina para suelos;25L;3;58;14/03/2019
Xabier Ximol;Xabier_Ximol@gmail.com;24 de enero de 2018;Germany;Berlin;Caja de tirafondos;40 piezas;0;3;06/02/2019
Alberto Ramirez;Alberto_Ramirez@uam.es;16 de abril de 2017;Bulgaria;Sofia;Serrucho;;3;9;30/03/2019
Kendra Ximol;Kendra_Ximol@uned.es;11 de marzo de 2017;Spain;Madrid;Carretilla;Plegable;4;33;29/01/2019
Kendra Minguez;Kendra_Minguez@gmail.com;16 de agosto de 2018;Hungary;Budapest;Caja de tirafondos;40 piezas;5;3;05/02/2019
Manuel Lopez;Manuel_Lopez@yahoo.es;23 de agosto de 2017;Bulgaria;Sofia;Serrucho;;2;9;08/02/2019
Patricia Diaz;Patricia_Diaz@uam.es;20 de enero de 2017;Netherlands;Amsterdam;MicroSoplete;GasButano;1;14;21/12/2018
Isabel Nu¤ez;Isabel_Nu¤ez@ucm.es;2 de diciembre de 2018;Romania;Bucharest;Serrucho;;1;9;03/01/2019
Violeta Yuste;Violeta_Yuste@uned.es;13 de octubre de 2018;Bulgaria;Sofia;MicroSoplete;GasButano;4;14;04/02/2019
Laura Lopez;Laura_Lopez@uam.es;14 de marzo de 2017;Republic_of_Ireland;Dublin;Carretilla;Plegable;3;33;12/02/2019
Francisco Idiazabal;Francisco_Idiazabal@gmail.com;21 de agosto de 2017;France;Paris;Serrucho;;3;9;14/01/2019
Elena Vitola;Elena_Vitola@gmail.com;4 de diciembre de 2018;Netherlands;Amsterdam;Taladro;GoldLine;1;35;04/02/2019
Sandra Esteban;Sandra_Esteban@ucm.es;17 de abril de 2018;Romania;Bucharest;Disco Diamante;125x22mm;4;18;25/01/2019
Gema Camino;Gema_Camino@urjc.es;14 de mayo de 2018;Romania;Bucharest;Resina para suelos;25L;2;58;28/03/2019
Patricia Minguez;Patricia_Minguez@uah.es;16 de agosto de 2018;Spain;Madrid;Llave de Cadena;;0;9;03/01/2019
Violeta Yuste;Violeta_Yuste@uned.es;13 de octubre de 2018;Bulgaria;Sofia;Sierra Circular;Tekin;4;50;10/02/2019
Elena Diaz;Elena_Diaz@uned.es;13 de febrero de 2018;Austria;Vienna;Caja de tirafondos;40 piezas;4;3;03/03/2019
Kendra Ocon;Kendra_Ocon@facebook.com;1 de mayo de 2018;Netherlands;Amsterdam;Sierra Circular;Tekin;5;50;09/01/2019
Laura Lopez;Laura_Lopez@uam.es;14 de marzo de 2017;Republic_of_Ireland;Dublin;Taladro;GoldLine;2;35;07/01/2019
Javier Minguez;Javier_Minguez@yahoo.es;16 de marzo de 2018;Sweden;Stockholm;Resina para suelos;25L;0;58;26/03/2019
Isabel Lopez;Isabel_Lopez@uah.es;24 de abril de 2018;United_Kingdom;London;Llave de Cadena;;2;9;20/03/2019
