Apellidos, Nombre;email;day;month;year;Country;Capital;Pop.;item;descripcion;Importe;valoracion;FechaPedido
Vitola, Elena;gmail.com;4;Dic.;2018;Netherlands;Amsterdam;842343;Moldes Pavimento;42x42x4;13;5;27/01/2019
Idiazabal, Sandra;facebook.com;16;Sep.;2018;France;Paris;2229621;Disco Diamante;125x22mm;18;0;13/01/2019
Idiazabal, Sandra;facebook.com;16;Sep.;2018;France;Paris;2229621;Martillo;Cabeza doble;3;1;22/02/2019
Ximol, Kendra;;11;Mar.;2017;Spain;Madrid;3141991;Martillo;Cabeza doble;3;4;21/01/2019
Sanchez, Violeta;uned.es;11;Abr.;2017;Bulgaria;Sofia;1260120;Carretilla;Plegable;33;5;10/02/2019
Esteban, Xabier;uam.es;18;Ago.;2018;Norway;Oslo;658390;Resina para suelos;25L;58;2;29/12/2018
Ba¤os, Xabier;uam.es;21;Abr.;2018;Republic_of_Ireland;Dublin;553165;Resina para suelos;25L;58;3;18/01/2019
Ucelai, Hector;uam.es;17;Feb.;2018;Netherlands;Amsterdam;842343;Sierra Circular;Tekin;50;0;25/03/2019
Tasio, Laura;facebook.com;18;Jul.;2018;Netherlands;Amsterdam;842343;Llave de Cadena;;9;3;13/02/2019
Idiazabal, Sandra;facebook.com;16;Sep.;2018;France;Paris;2229621;Llave de Cadena;;9;5;28/02/2019
Diaz, Patricia;uam.es;20;Ene.;2017;Netherlands;Amsterdam;842343;Sierra Circular;Tekin;50;3;28/02/2019
Esteban, Francisco;yahoo.es;19;Ago.;2018;Hungary;Budapest;1759407;Martillo;Cabeza doble;3;4;09/03/2019
Esteban, Patricia;uah.es;7;Abr.;2017;Bulgaria;Sofia;1260120;Serrucho;;9;4;26/02/2019
Esteban, Patricia;uah.es;7;Abr.;2017;Bulgaria;Sofia;1260120;Serrucho;;9;2;24/01/2019
Minguez, Patricia;uah.es;16;Ago.;2018;Spain;Madrid;3141991;Recortadora de borde;;22;5;27/02/2019
Idiazabal, Sandra;facebook.com;16;Sep.;2018;France;Paris;2229621;MicroSoplete;GasButano;14;0;25/02/2019
Vitola, Elena;gmail.com;4;Dic.;2018;Netherlands;Amsterdam;842343;Abrazadera angulo recto;Juego de 4;13;4;20/02/2019
Diaz, Nuria;uah.es;3;Dic.;2017;Republic_of_Ireland;Dublin;553165;Llave de Cadena;;9;1;02/02/2019
Camino, Gema;urjc.es;14;May.;2018;Romania;Bucharest;1883425;Disco Diamante;125x22mm;18;4;24/12/2018
Idiazabal, Sandra;facebook.com;16;Sep.;2018;France;Paris;2229621;Disco Diamante;125x22mm;18;1;13/01/2019
Yuste, Violeta;uned.es;13;Oct.;2018;Bulgaria;Sofia;1260120;Carretilla;Plegable;33;2;22/12/2018
Tasio, Oscar;;13;Ago.;2017;France;Paris;2229621;Caja de tirafondos;40 piezas;3;0;02/02/2019
Ocon, Kendra;facebook.com;1;May.;2018;Netherlands;Amsterdam;842343;Moldes Pavimento;42x42x4;13;1;14/01/2019
Tasio, Oscar;;13;Ago.;2017;France;Paris;2229621;Sierra Circular;Tekin;50;0;22/12/2018
Ximol, Xabier;gmail.com;24;Ene.;2018;Germany;Berlin;3610156;Abrazadera angulo recto;Juego de 4;13;3;06/03/2019
Minguez, Patricia;uah.es;16;Ago.;2018;Spain;Madrid;3141991;Serrucho;;9;5;24/12/2018
Ba¤os, Kendra;uned.es;17;Sep.;2017;Bulgaria;Sofia;1260120;Serrucho;;9;4;27/12/2018
Esteban, Xabier;uam.es;18;Ago.;2018;Norway;Oslo;658390;Abrazadera angulo recto;Juego de 4;13;1;27/02/2019
Sanchez, Violeta;uned.es;11;Abr.;2017;Bulgaria;Sofia;1260120;Sierra Circular;Tekin;50;3;30/12/2018
Ucelai, Nuria;urjc.es;11;Jun.;2017;Czech_Republic;Prague;1267449;Recortadora de borde;;22;4;18/02/2019
Ba¤os, Kendra;uned.es;17;Sep.;2017;Bulgaria;Sofia;1260120;Taladro;GoldLine;35;3;08/03/2019
Ximol, Oscar;urjc.es;14;Mar.;2018;Romania;Bucharest;1883425;Moldes Pavimento;42x42x4;13;3;03/01/2019
Lopez, Isabel;uah.es;24;Abr.;2018;United_Kingdom;London;8673713;Taladro;GoldLine;35;4;26/01/2019
Camino, Manuel;uam.es;8;Abr.;2017;Denmark;Copenhagen;591481;MicroSoplete;GasButano;14;5;28/02/2019
Ba¤os, Xabier;uam.es;21;Abr.;2018;Republic_of_Ireland;Dublin;553165;Martillo;Cabeza doble;3;0;31/12/2018
Ramirez, Alberto;uam.es;16;Abr.;2017;Bulgaria;Sofia;1260120;Resina para suelos;25L;58;5;20/02/2019
Minguez, Javier;yahoo.es;16;Mar.;2018;Sweden;Stockholm;925934;Martillo;Cabeza doble;3;2;09/03/2019
Yuste, Violeta;uned.es;13;Oct.;2018;Bulgaria;Sofia;1260120;Llave de Correa;;6;0;09/01/2019
Tasio, Laura;facebook.com;18;Jul.;2018;Netherlands;Amsterdam;842343;Abrazadera angulo recto;Juego de 4;13;1;13/03/2019
Ucelai, Nuria;uam.es;7;Feb.;2017;Republic_of_Ireland;Dublin;553165;Serrucho;;9;2;21/12/2018
Diaz, Patricia;uam.es;20;Ene.;2017;Netherlands;Amsterdam;842343;Taladro;GoldLine;35;1;11/02/2019
Sanchez, Violeta;uned.es;11;Abr.;2017;Bulgaria;Sofia;1260120;Caja de tirafondos;40 piezas;3;5;23/03/2019
Camino, Gema;urjc.es;14;May.;2018;Romania;Bucharest;1883425;Moldes Pavimento;42x42x4;13;2;05/02/2019
Diaz, Elena;uned.es;13;Feb.;2018;Austria;Vienna;1852997;MicroSoplete;GasButano;14;5;25/02/2019
Ramirez, Alberto;uam.es;16;Abr.;2017;Bulgaria;Sofia;1260120;Sierra Circular;Tekin;50;4;04/03/2019
Ocon, Elena;urjc.es;22;Dic.;2018;France;Paris;2229621;Sierra Circular;Tekin;50;0;08/03/2019
Ximol, Xabier;ucm.es;16;Sep.;2017;France;Paris;2229621;Martillo;Cabeza doble;3;1;18/01/2019
Minguez, Javier;yahoo.es;16;Mar.;2018;Sweden;Stockholm;925934;Martillo;Cabeza doble;3;1;27/12/2018
Sanchez, Violeta;uned.es;11;Abr.;2017;Bulgaria;Sofia;1260120;Disco Diamante;125x22mm;18;4;29/03/2019
Ucelai, Nuria;uam.es;7;Feb.;2017;Republic_of_Ireland;Dublin;553165;Caja de tirafondos;40 piezas;3;4;30/01/2019
Idiazabal, Francisco;gmail.com;21;Ago.;2017;France;Paris;2229621;Serrucho;;9;3;26/12/2018
Diaz, Patricia;uam.es;20;Ene.;2017;Netherlands;Amsterdam;842343;Recortadora de borde;;22;2;18/03/2019
Ocon, Patricia;urjc.es;8;Sep.;2017;Portugal;Lisbon;545245;Abrazadera angulo recto;Juego de 4;13;3;19/01/2019
Tasio, Laura;facebook.com;18;Jul.;2018;Netherlands;Amsterdam;842343;Caja de tirafondos;40 piezas;3;3;29/03/2019
Kostadiris, Ubaldo;yahoo.es;13;Jul.;2018;United_Kingdom;London;8673713;Sierra Circular;Tekin;50;4;11/03/2019
Esteban, Xabier;uam.es;18;Ago.;2018;Norway;Oslo;658390;Serrucho;;9;4;22/12/2018
Esteban, Xabier;uam.es;18;Ago.;2018;Norway;Oslo;658390;Resina para suelos;25L;58;5;28/03/2019
Ximol, Xabier;ucm.es;16;Sep.;2017;France;Paris;2229621;Resina para suelos;25L;58;4;16/01/2019
Camino, Gema;urjc.es;14;May.;2018;Romania;Bucharest;1883425;Abrazadera angulo recto;Juego de 4;13;1;12/02/2019
Ba¤os, Kendra;uned.es;17;Sep.;2017;Bulgaria;Sofia;1260120;Carretilla;Plegable;33;3;18/01/2019
Ucelai, Nuria;uam.es;7;Feb.;2017;Republic_of_Ireland;Dublin;553165;Caja de tirafondos;40 piezas;3;3;16/03/2019
Minguez, Kendra;gmail.com;16;Ago.;2018;Hungary;Budapest;1759407;Abrazadera angulo recto;Juego de 4;13;4;07/02/2019
Esteban, Ubaldo;ucm.es;19;Mar.;2017;Netherlands;Amsterdam;842343;Carretilla;Plegable;33;0;18/01/2019
Vitola, Elena;gmail.com;4;Dic.;2018;Netherlands;Amsterdam;842343;Recortadora de borde;;22;0;02/03/2019
Quesada, Diana;ucm.es;6;Oct.;2018;Bulgaria;Sofia;1260120;Llave de Cadena;;9;0;06/02/2019
Lopez, Laura;uam.es;14;Mar.;2017;Republic_of_Ireland;Dublin;553165;Taladro;GoldLine;35;3;20/01/2019
Minguez, Sandra;uam.es;4;Oct.;2017;Republic_of_Ireland;Dublin;553165;Recortadora de borde;;22;1;04/03/2019
Yuste, Francisco;uned.es;12;Jul.;2017;France;Paris;2229621;Martillo;Cabeza doble;3;2;11/01/2019
Lopez, Isabel;uah.es;24;Abr.;2018;United_Kingdom;London;8673713;Taladro;GoldLine;35;5;19/02/2019
Esteban, Sandra;ucm.es;17;Abr.;2018;Romania;Bucharest;1883425;MicroSoplete;GasButano;14;0;26/03/2019
Lopez, Isabel;uah.es;24;Abr.;2018;United_Kingdom;London;8673713;Disco Diamante;125x22mm;18;3;27/01/2019
Ocon, Elena;urjc.es;22;Dic.;2018;France;Paris;2229621;Serrucho;;9;2;05/03/2019
Diaz, Elena;uned.es;13;Feb.;2018;Austria;Vienna;1852997;Abrazadera angulo recto;Juego de 4;13;2;27/12/2018
Perez, Gema;uam.es;13;Nov.;2017;Sweden;Stockholm;925934;Caja de tirafondos;40 piezas;3;1;16/02/2019
Yuste, Oscar;yahoo.es;10;Abr.;2017;Netherlands;Amsterdam;842343;Sierra Circular;Tekin;50;2;26/12/2018
Yuste, Violeta;uned.es;13;Oct.;2018;Bulgaria;Sofia;1260120;Sierra Circular;Tekin;50;0;24/01/2019
